Image ID,Color Option ID,Image URL
14,2,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/7051003/v1/l_20241-s4g219z8-lu7_u1.jpg
15,3,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/7225140/v1/l_20241-s4jj32z8-cvl-83-60-90-176_a.jpg
16,3,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/7225140/v1/l_20241-s4jj32z8-cvl-83-60-90-176_a1.jpg
17,3,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/7225140/v1/l_20241-s4jj32z8-cvl-83-60-90-176_a2.jpg
18,3,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/7225140/v1/l_20241-s4jj32z8-cvl-83-60-90-176_a3.jpg
19,3,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/7225140/v1/l_20241-s4jj32z8-cvl-83-60-90-176_a4.jpg
20,3,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/7225140/v1/l_20241-s4jj32z8-cvl_u.jpg
21,3,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/7225140/v1/l_20241-s4jj32z8-cvl_u1.jpg
22,4,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5943203/l_20221-s2kf41z8-lra_a.jpg
23,4,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5943203/l_20221-s2kf41z8-lra_a1.jpg
24,4,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5943203/l_20221-s2kf41z8-lra_a2.jpg
25,4,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5943203/l_20221-s2kf41z8-lra_a3.jpg
26,4,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5943203/l_20221-s2kf41z8-lra_a4.jpg
27,4,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5943203/l_20221-s2kf41z8-lra_u.jpg
28,4,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5943203/l_20221-s2kf41z8-lra_u1.jpg
29,5,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20231/6639913/v1/l_20231-s3j023z8-cvl-82-59-88-177_a.jpg
30,5,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20231/6639913/v1/l_20231-s3j023z8-cvl-82-59-88-177_a1.jpg
31,5,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20231/6639913/v1/l_20231-s3j023z8-cvl-82-59-88-177_a2.jpg
32,5,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20231/6639913/v1/l_20231-s3j023z8-cvl-82-59-88-177_a3.jpg
33,5,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20231/6639913/v1/l_20231-s3j023z8-cvl-82-59-88-177_a4.jpg
34,5,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20231/6639913/v1/l_20231-s3j023z8-cvl_u.jpg
35,5,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20231/6639913/v1/l_20231-s3j023z8-cvl_u1.jpg
36,6,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/7197850/v1/l_20241-s4j419z8-gnz-83-60-89-173_a.jpg
37,6,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/7197850/v1/l_20241-s4j419z8-gnz-83-60-89-173_a1.jpg
38,6,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/7197850/v1/l_20241-s4j419z8-gnz-83-60-89-173_a2.jpg
39,6,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/7197850/v1/l_20241-s4j419z8-gnz-83-60-89-173_a3.jpg
40,6,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/7197850/v1/l_20241-s4j419z8-gnz-83-60-89-173_a4.jpg
41,6,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/7197850/v1/l_20241-s4j419z8-gnz_u.jpg
42,6,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/7197850/v1/l_20241-s4j419z8-gnz_u1.jpg
43,7,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/7197850/v1/l_20241-s4j419z8-cvl-83-60-89-173_a.jpg
44,7,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/7197850/v1/l_20241-s4j419z8-cvl-83-60-89-173_a1.jpg
45,7,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/7197850/v1/l_20241-s4j419z8-cvl-83-60-89-173_a2.jpg
46,7,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/7197850/v1/l_20241-s4j419z8-cvl-83-60-89-173_a3.jpg
47,7,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/7197850/v1/l_20241-s4j419z8-cvl-83-60-89-173_a4.jpg
48,7,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/7197850/v1/l_20241-s4j419z8-cvl_u.jpg
49,7,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/7197850/v1/l_20241-s4j419z8-cvl_u1.jpg
50,8,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5867960/l_20221-s2is49z8-ffb_a.jpg
51,8,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5867960/l_20221-s2is49z8-ffb_a1.jpg
52,8,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5867960/l_20221-s2is49z8-ffb_a2.jpg
53,8,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5867960/l_20221-s2is49z8-ffb_a3.jpg
54,8,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5867960/l_20221-s2is49z8-ffb_a4.jpg
55,8,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5867960/v3/l_20221-s2is49z8-ffb_u.jpg
56,8,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5867960/v3/l_20221-s2is49z8-ffb_u1.jpg
57,9,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/7181191/v2/l_20241-s4iq71z8-lqq-84-62-89-180_a.jpg
58,9,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/7181191/v2/l_20241-s4iq71z8-lqq-84-62-89-180_a1.jpg
59,9,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/7181191/v2/l_20241-s4iq71z8-lqq-84-62-89-180_a2.jpg
60,9,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/7181191/v2/l_20241-s4iq71z8-lqq-84-62-89-180_a3.jpg
61,9,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/7181191/v2/l_20241-s4iq71z8-lqq-84-62-89-180_a4.jpg
62,9,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/7181191/v1/l_20241-s4iq71z8-lqq_u.jpg
63,9,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/7181191/v1/l_20241-s4iq71z8-lqq_u1.jpg
64,10,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/7181191/v2/l_20241-s4iq71z8-lt9-84-62-89-180_a.jpg
65,10,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/7181191/v2/l_20241-s4iq71z8-lt9-84-62-89-180_a1.jpg
66,10,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/7181191/v2/l_20241-s4iq71z8-lt9-84-62-89-180_a2.jpg
67,10,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/7181191/v2/l_20241-s4iq71z8-lt9-84-62-89-180_a3.jpg
68,10,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/7181191/v1/l_20241-s4iq71z8-lt9_u.jpg
69,10,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/7181191/v1/l_20241-s4iq71z8-lt9_u1.jpg
70,11,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/6944941/v1/l_20241-s4bv08z8-q6k-84-59-90-179_a.jpg
71,11,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/6944941/v1/l_20241-s4bv08z8-q6k-84-59-90-179_a1.jpg
72,11,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/6944941/v1/l_20241-s4bv08z8-q6k-84-59-90-179_a2.jpg
73,11,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/6944941/v1/l_20241-s4bv08z8-q6k-84-59-90-179_a3.jpg
74,11,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/6944941/v1/l_20241-s4bv08z8-q6k-84-59-90-179_a4.jpg
75,11,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/6944941/v1/l_20241-s4bv08z8-q6k_u.jpg
76,11,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/6944941/v1/l_20241-s4bv08z8-q6k_u1.jpg
77,12,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5871196/l_20221-s2iu38z8-311_a.jpg
78,12,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5871196/l_20221-s2iu38z8-311_a1.jpg
79,12,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5871196/l_20221-s2iu38z8-311_a2.jpg
80,12,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5871196/l_20221-s2iu38z8-311_a3.jpg
81,12,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5871196/l_20221-s2iu38z8-311_a4.jpg
82,12,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5871196/l_20221-s2iu38z8-311_u.jpg
83,12,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5871196/l_20221-s2iu38z8-311_u1.jpg
84,13,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20231/6485686/v1/l_20231-s3gy13z8-cvl-78-59-89-177_a.jpg
85,13,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20231/6485686/v1/l_20231-s3gy13z8-cvl-78-59-89-177_a1.jpg
86,13,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20231/6485686/v1/l_20231-s3gy13z8-cvl-78-59-89-177_a2.jpg
87,13,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20231/6485686/v1/l_20231-s3gy13z8-cvl-78-59-89-177_a3.jpg
88,13,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20231/6485686/v1/l_20231-s3gy13z8-cvl_u.jpg
89,13,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20231/6485686/v1/l_20231-s3gy13z8-cvl_u1.jpg
90,14,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/6004612/l_20221-s2le15z8-gux_a.jpg
91,14,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/6004612/l_20221-s2le15z8-gux_a1.jpg
92,14,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/6004612/l_20221-s2le15z8-gux_a2.jpg
93,14,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/6004612/l_20221-s2le15z8-gux_a3.jpg
94,14,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/6004612/l_20221-s2le15z8-gux_a4.jpg
95,14,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/6004612/l_20221-s2le15z8-gux_u.jpg
96,14,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/6004612/l_20221-s2le15z8-gux_u1.jpg
97,15,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20231/6329198/v1/l_20231-s3bs39z8-ke8-81-59-89-179_a.jpg
98,15,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20231/6329198/v1/l_20231-s3bs39z8-ke8-81-59-89-179_a1.jpg
99,15,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20231/6329198/v1/l_20231-s3bs39z8-ke8-81-59-89-179_a2.jpg
100,15,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20231/6329198/v1/l_20231-s3bs39z8-ke8-81-59-89-179_a3.jpg
101,15,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20231/6329198/v1/l_20231-s3bs39z8-ke8-81-59-89-179_a4.jpg
102,15,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20231/6329198/v1/l_20231-s3bs39z8-ke8_u.jpg
103,15,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20231/6329198/v1/l_20231-s3bs39z8-ke8_u1.jpg
104,16,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/6872686/v1/l_20241-s48291z8-q6l-84-59-91-175_a.jpg
105,16,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/6872686/v1/l_20241-s48291z8-q6l-84-59-91-175_a1.jpg
106,16,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/6872686/v1/l_20241-s48291z8-q6l-84-59-91-175_a2.jpg
107,16,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/6872686/v1/l_20241-s48291z8-q6l-84-59-91-175_a3.jpg
108,16,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/6872686/v1/l_20241-s48291z8-q6l-84-59-91-175_a4.jpg
109,16,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/6872686/v1/l_20241-s48291z8-q6l_u.jpg
110,16,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/6872686/v1/l_20241-s48291z8-q6l_u1.jpg
111,17,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/7441164/v1/l_20241-s4ms03z8-cvl-78-61-90-174_a.jpg
112,17,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/7441164/v1/l_20241-s4ms03z8-cvl-78-61-90-174_a1.jpg
113,17,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/7441164/v1/l_20241-s4ms03z8-cvl-78-61-90-174_a2.jpg
114,17,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/7441164/v1/l_20241-s4ms03z8-cvl-78-61-90-174_a3.jpg
115,17,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/7441164/v1/l_20241-s4ms03z8-cvl-78-61-90-174_a4.jpg
116,17,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/7441164/v1/l_20241-s4ms03z8-cvl_u.jpg
117,17,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/7441164/v1/l_20241-s4ms03z8-cvl_u1.jpg
118,18,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/7441164/v1/l_20241-s4ms03z8-vyf-84-64-90-176_a.jpg
119,18,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/7441164/v1/l_20241-s4ms03z8-vyf-84-64-90-176_a1.jpg
120,18,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/7441164/v1/l_20241-s4ms03z8-vyf-84-64-90-176_a2.jpg
121,18,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/7441164/v1/l_20241-s4ms03z8-vyf-84-64-90-176_a3.jpg
122,18,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/7441164/v1/l_20241-s4ms03z8-vyf_u.jpg
123,18,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/7441164/v1/l_20241-s4ms03z8-vyf_u1.jpg
124,19,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/6879118/v1/l_20241-s48963z8-vl6-77-59-85-176_a.jpg
125,19,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/6879118/v1/l_20241-s48963z8-vl6-77-59-85-176_a1.jpg
126,19,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/6879118/v1/l_20241-s48963z8-vl6-77-59-85-176_a2.jpg
127,19,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/6879118/v1/l_20241-s48963z8-vl6-77-59-85-176_a3.jpg
128,19,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/6879118/v1/l_20241-s48963z8-vl6-77-59-85-176_a4.jpg
129,19,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/6879118/v1/l_20241-s48963z8-vl6_u.jpg
130,19,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20241/6879118/v1/l_20241-s48963z8-vl6_u1.jpg
